id,movieId,title,genres,imdbId
1,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709
2,2,Jumanji (1995),Adventure|Children|Fantasy,113497
3,3,Grumpier Old Men (1995),Comedy|Romance,113228
4,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885
5,5,Father of the Bride Part II (1995),Comedy,113041
6,6,Heat (1995),Action|Crime|Thriller,113277
7,7,Sabrina (1995),Comedy|Romance,114319
8,8,Tom and Huck (1995),Adventure|Children,112302
9,9,Sudden Death (1995),Action,114576
10,10,GoldenEye (1995),Action|Adventure|Thriller,113189
11,11,"American President, The (1995)",Comedy|Drama|Romance,112346
12,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896
13,13,Balto (1995),Adventure|Animation|Children,112453
14,14,Nixon (1995),Drama,113987
15,15,Cutthroat Island (1995),Action|Adventure|Romance,112760
16,16,Casino (1995),Crime|Drama,112641
17,17,Sense and Sensibility (1995),Drama|Romance,114388
18,18,Four Rooms (1995),Comedy,113101
19,19,Ace Ventura: When Nature Calls (1995),Comedy,112281
20,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845
21,21,Get Shorty (1995),Comedy|Crime|Thriller,113161
22,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722
23,23,Assassins (1995),Action|Crime|Thriller,112401
24,24,Powder (1995),Drama|Sci-Fi,114168
25,25,Leaving Las Vegas (1995),Drama|Romance,113627
26,26,Othello (1995),Drama,114057
27,27,Now and Then (1995),Children|Drama,114011
28,28,Persuasion (1995),Drama|Romance,114117
29,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012
31,31,Dangerous Minds (1995),Drama,112792
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746
33,34,Babe (1995),Children|Drama,112431
34,35,Carrington (1995),Drama|Romance,112637
35,36,Dead Man Walking (1995),Crime|Drama,112818
36,37,Across the Sea of Time (1995),Documentary|IMAX,112286
37,38,It Takes Two (1995),Children|Comedy,113442
38,39,Clueless (1995),Comedy|Romance,112697
39,40,"Cry, the Beloved Country (1995)",Drama,112749
40,41,Richard III (1995),Drama|War,114279
41,42,Dead Presidents (1995),Action|Crime|Drama,112819
42,43,Restoration (1995),Drama,114272
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855
44,45,To Die For (1995),Comedy|Drama|Thriller,114681
45,46,How to Make an American Quilt (1995),Drama|Romance,113347
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148
48,49,When Night Is Falling (1995),Drama|Romance,114916
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814
50,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819
51,53,Lamerica (1994),Adventure|Drama,110299
52,54,"Big Green, The (1995)",Children|Comedy,112499
53,55,Georgia (1995),Drama,113158
54,57,Home for the Holidays (1995),Drama,113321
55,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877
56,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714
57,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419
58,61,Eye for an Eye (1996),Drama|Thriller,116260
59,62,Mr. Holland's Opus (1995),Drama,113862
60,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126
61,64,Two if by Sea (1996),Comedy|Romance,118002
62,65,Bio-Dome (1996),Comedy,115683
63,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839
64,68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149
65,69,Friday (1995),Comedy,113118
66,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367
67,71,Fair Game (1995),Action,113010
68,72,Kicking and Screaming (1995),Comedy|Drama,113537
69,73,"Misrables, Les (1995)",Drama|War,113828
70,74,Bed of Roses (1996),Drama|Romance,115644
71,76,Screamers (1995),Action|Sci-Fi|Thriller,114367
72,77,Nico Icon (1995),Documentary,113973
73,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744
74,79,"Juror, The (1996)",Drama|Thriller,116731
75,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445
76,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660
77,82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379
78,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039
79,84,Last Summer in the Hamptons (1995),Comedy|Drama,113612
80,85,Angels and Insects (1995),Drama|Romance,112365
81,86,White Squall (1996),Action|Adventure|Drama,118158
82,87,Dunston Checks In (1996),Children|Comedy,116151
83,88,Black Sheep (1996),Comedy,115697
84,89,Nick of Time (1995),Action|Thriller,113972
85,92,Mary Reilly (1996),Drama|Horror|Thriller,117002
86,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825
87,94,Beautiful Girls (1996),Comedy|Drama|Romance,115639
88,95,Broken Arrow (1996),Action|Adventure|Thriller,115759
89,96,In the Bleak Midwinter (1995),Comedy|Drama,113403
90,97,"Hate (Haine, La) (1995)",Crime|Drama,113247
91,98,Shopping (1994),Action|Thriller,111173
92,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283
93,100,City Hall (1996),Drama|Thriller,115907
94,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734
95,102,Mr. Wrong (1996),Comedy,117102
96,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040
97,104,Happy Gilmore (1996),Comedy,116483
98,105,"Bridges of Madison County, The (1995)",Drama|Romance,112579
99,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110
100,108,Catwalk (1996),Documentary,112646
101,110,Braveheart (1995),Action|Drama|War,112573
102,111,Taxi Driver (1976),Crime|Drama|Thriller,75314
103,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326
104,113,Before and After (1996),Drama|Mystery,115645
105,114,Margaret's Museum (1995),Drama,113774
106,116,Anne Frank Remembered (1995),Documentary,112373
107,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033
108,118,If Lucy Fell (1996),Comedy|Romance,116606
109,119,"Steal Big, Steal Little (1995)",Comedy,114536
110,121,"Boys of St. Vincent, The (1992)",Drama,106473
111,122,Boomerang (1992),Comedy|Romance,103859
112,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424
113,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,114808
114,125,Flirting With Disaster (1996),Comedy,116324
115,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647
116,129,Pie in the Sky (1996),Comedy|Romance,114131
117,130,Angela (1995),Drama,112364
118,131,Frankie Starlight (1995),Drama|Romance,113107
119,132,Jade (1995),Thriller,113451
120,135,Down Periscope (1996),Comedy,116130
121,137,Man of the Year (1995),Documentary,113756
122,140,Up Close and Personal (1996),Drama|Romance,118055
123,141,"Birdcage, The (1996)",Comedy,115685
124,144,"Brothers McMullen, The (1995)",Comedy,112585
125,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442
126,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342
127,147,"Basketball Diaries, The (1995)",Drama,112461
128,148,"Awfully Big Adventure, An (1995)",Drama,112427
129,149,Amateur (1994),Crime|Drama|Thriller,109093
130,150,Apollo 13 (1995),Adventure|Drama|IMAX,112384
131,151,Rob Roy (1995),Action|Drama|Romance|War,114287
132,152,"Addiction, The (1995)",Drama|Horror,112288
133,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462
134,154,Beauty of the Day (Belle de jour) (1967),Drama,61395
135,155,Beyond Rangoon (1995),Adventure|Drama|War,112495
136,156,Blue in the Face (1995),Comedy|Drama,112541
137,157,Canadian Bacon (1995),Comedy|War,109370
138,158,Casper (1995),Adventure|Children,112642
139,159,Clockers (1995),Crime|Drama|Mystery,112688
140,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715
141,161,Crimson Tide (1995),Drama|Thriller|War,112740
142,162,Crumb (1994),Documentary,109508
143,163,Desperado (1995),Action|Romance|Western,112851
144,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857
145,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864
146,166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887
147,167,Feast of July (1995),Drama,113044
148,168,First Knight (1995),Action|Drama|Romance,113071
149,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114
150,170,Hackers (1995),Action|Adventure|Crime|Thriller,113243
151,171,Jeffrey (1995),Comedy|Drama,113464
152,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481
153,173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492
154,174,Jury Duty (1995),Comedy,113500
155,175,Kids (1995),Drama,113540
156,176,Living in Oblivion (1995),Comedy,113677
157,177,Lord of Illusions (1995),Horror,113690
158,178,Love & Human Remains (1993),Comedy|Drama,107447
159,179,Mad Love (1995),Drama|Romance,113729
160,180,Mallrats (1995),Comedy|Romance,113749
161,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820
162,183,Mute Witness (1994),Comedy|Horror|Thriller,110604
163,184,Nadja (1994),Drama,110620
164,185,"Net, The (1995)",Action|Crime|Thriller,113957
165,186,Nine Months (1995),Comedy|Romance,113986
166,187,Party Girl (1995),Comedy,114095
167,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194
168,189,Reckless (1995),Comedy|Fantasy,114241
169,190,Safe (1995),Thriller,114323
170,191,"Scarlet Letter, The (1995)",Drama|Romance,114345
171,193,Showgirls (1995),Drama,114436
